101.01,"Shock; cardiogenic"
101.02,"Papillary muscle rupture"
102.01,"Cardiac arrest with or without respiratory arrest; for respiratory arrest see Respiratory System"
102.02,"Poisoning, carbon monoxide, arsenic and cyanide; non-traumatic coma due to anoxia/ischemia"
103.01,"Aneurysm, dissecting aortic"
104.01,"Congestive heart failure"
105.01,"Aneurysm/Pseudoaneurysm, other"
105.02,"Thrombus, arterial"
106.01,"Rhythm disturbance (primary, e.g. tachyarrhythmias, bradyarrhythymias)"
107.01,"Infarction, acute myocardial (MI)"
108.01,"Hypertension, uncontrolled (for cerebrovascular accident see Neurological System)"
109.01,"Anaphylaxis"
109.02,"Angina, stable (asymptomatic or stable pattern of symptoms with meds)"
109.03,"Cardiovascular medical, other"
109.04,"Chest pain, atypical (non-cardiac chest pain)"
109.05,"Effusion, pericardial"
109.06,"Endocarditis"
109.07,"Haematomas"
109.08,"Haemorrhage (for gastrointestinal bleeding see GI system, for trauma see Trauma)"
109.09,"Hypovolemia (including dehydration). Do NOT include shock states"
"109.10","MI admitted > 24 hr after onset of ischemia"
109.11,"Monitoring, hemodynamic (pre-operative evaluation)"
109.12,"Pericarditis"
109.13,"Tamponade, pericardial"
109.14,"Thrombosis, vascular (deep vein)"
109.15,"Toxicity, drug (e.g. digoxin, theophylline, dilantin, etc.)"
109.16,"Vascular medical, other"
110.01,"Cardiomyopathy"
111.01,"Angina, unstable (angina interferes with quality of life or meds are tolerated poorly)"
201.01,"Pneumonia, aspiration, toxic, chemical pneumonitis"
202.01,"Cancer of the following: laryngeal, lung, oral, tracheal"
203.01,"Arrest, respiratory (without cardiac arrest)"
204.01,"ARDS-adult respiratory distress syndrome, non-cardiogenic pulmonary edema"
206.01,"Emphysema/Bronchitis"
207.01,"Embolus, pulmonary"
208.01,"Obstruction-airway (e.g. acute epiglottitis, post-extubation edema, foreign body, etc.)"
209.01,"Asthma"
210.01,"Pneumonia, fungal"
210.02,"Pneumonia, parasitic (e.g. Pneumocystis pneumonia)"
211.01,"Apnea, sleep"
211.02,"Atelectasis"
211.03,"Effusions, pleural"
