"apache_3j_operative","apache_3j_diagnosis","apache_3j_bodysystem","apache_3j_name","apache_2_diagnosis","ANZICS Added"
"Non-operative",101,"Cardiovascular","Cardiogenic shock",115,
"Non-operative",102,"Cardiovascular","Cardiac arrest",114,
"Non-operative",103,"Cardiovascular","Aortic aneurysm",116,
"Non-operative",104,"Cardiovascular","Congestive heart failure",110,
"Non-operative",105,"Cardiovascular","Peripheral vascular disease",302,
"Non-operative",106,"Cardiovascular","Rhythm disturbance",117,
"Non-operative",107,"Cardiovascular","Acute myocardial infarction",112,
"Non-operative",108,"Cardiovascular","Hypertension",109,
"Non-operative",109,"Cardiovascular","Other cardiovascular disease",302,
"Non-operative",110,"Cardiovascular","Cardiomyopathy",110,
"Non-operative",111,"Cardiovascular","Unstable angina",302,
"Non-operative",201,"Respiratory","Aspiration pneumonia",104,
"Non-operative",202,"Respiratory","Respiratory neoplasm including larynx/trachea",107,
"Non-operative",203,"Respiratory","Respiratory arrest",108,
"Non-operative",204,"Respiratory","Pulmonary oedema non cardiac",103,
"Non-operative",206,"Respiratory","COPD",102,
"Non-operative",207,"Respiratory","Pulmonary embolism",105,
"Non-operative",208,"Respiratory","Mechanical airway obstruction",303,
"Non-operative",209,"Respiratory","Asthma",101,
"Non-operative",211,"Respiratory","Other respiratory diseases",303,
"Non-operative",210,"Respiratory","Parasitic pneumonia",106,
"Non-operative",212,"Respiratory","Bacterial pneumonia",106,
"Non-operative",213,"Respiratory","Viral pneumonia",106,
"Non-operative",301,"Gastrointestinal","Hepatic failure",304,
"Non-operative",303,"Gastrointestinal","GI bleeding - varices",124,
"Non-operative",305,"Gastrointestinal","GI bleeding - ulcer/laceration",124,
"Non-operative",306,"Gastrointestinal","GI bleeding - diverticulosis",124,
"Non-operative",307,"Gastrointestinal","Other GI disease",304,
"Non-operative",308,"Gastrointestinal","GI perforation",304,
"Non-operative",309,"Gastrointestinal","GI obstruction",304,
"Non-operative",310,"Gastrointestinal","GI vascular insufficiency",304,
"Non-operative",311,"Gastrointestinal","Pancreatitis",304,
"Non-operative",312,"Gastrointestinal","GI cancer",304,
"Non-operative",313,"Gastrointestinal","Other GI inflammatory disease",304,
"Non-operative",401,"Neurological","Intracerebral haemorrhage",121,
"Non-operative",402,"Neurological","Subarachnoid haemorrhage",121,
"Non-operative",403,"Neurological","Stroke",301,
"Non-operative",404,"Neurological","Neurologic infection",301,
"Non-operative",405,"Neurological","Neurologic neoplasm",301,
"Non-operative",406,"Neurological","Neuromuscular disease",301,
"Non-operative",407,"Neurological","Seizure",120,
"Non-operative",408,"Neurological","Other neurologic disease",301,
"Non-operative",409,"Neurological","Epidural haematoma",121,
"Non-operative",410,"Neurological","Coma",301,
"Non-operative",501,"Sepsis","Sepsis other than urinary",113,
"Non-operative",502,"Sepsis","Sepsis of urinary tract origin",113,
"Non-operative",503,"Sepsis","Sepsis with shock other than urinary tract (ANZICS addition)",113,1
"Non-operative",504,"Sepsis","Sepsis of urinary tract origin with shock (ANZICS addition)",113,1
