"group","post-operative","code","dx","number","admitdiagnosis","admitdxpath","numobs","possible group",
"Undefined",0,"0.01","Transplant, other","1","TRANOTHER","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Transplant|Transplant, other",4,,
"Undefined",0,"0.02","Transplant, lung bilateral","1","LUNGSTRAN","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Transplant|Lung transplant, bilateral",0,,
"Undefined",0,"0.03","Transplant, lung single","1","LUNGTRAN","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Transplant|Lung transplant, single",0,,
"Undefined",0,"0.04","Transplant, heart","1","HEARTRAN","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Transplant|Heart transplant",6,,
"Undefined",0,"0.05","Transplant, heart-lung","1","HRTLNGTRAN","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Transplant|Heart-lung transplant",0,,
"Undefined",0,"0.06","Transplant, kidney-pancreas","1","KIDPANTRAN","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Transplant|Kidney-pancreas transplant",0,,
"Undefined",0,"0.07","Transplant, liver-small bowel","1","LIVSMBTRAN","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Transplant|Liver-small bowel transplant",0,,
"Undefined",0,"0.08","Transplant, bone marrow","1","BONMARTRAN","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Transplant|Bone marrow transplant",0,,
"Undefined",1,"0.09","Transplant, other, surgery for","1","S-TRANOTH","admission diagnosis|All Diagnosis|Operative|Diagnosis|Transplant|Transplant, other",0,,
"Undefined",1,"0.10","Transplant, pancreatic, surgery for","1","S-PANTRAN","admission diagnosis|All Diagnosis|Operative|Diagnosis|Transplant|Pancreas transplant",4,,
"Undefined",1,"0.11","Transplant, heart, surgery for","1","S-HEARTRAN","admission diagnosis|All Diagnosis|Operative|Diagnosis|Transplant|Heart transplant",34,,
"Undefined",1,"0.12","Transplant, hear-lung, surgery for","1","S-HTLNTRAN","admission diagnosis|All Diagnosis|Operative|Diagnosis|Transplant|Heart-lung transplant",0,,
"Undefined",1,"0.13","Transplant, kidney-pancreas, surgery for","1","S-KIDPTRAN","admission diagnosis|All Diagnosis|Operative|Diagnosis|Transplant|Kidney-pancreas transplant",8,,
"Undefined",1,"0.14","Transplant, lung bilateral, surgery for","1","S-LNGSTRAN","admission diagnosis|All Diagnosis|Operative|Diagnosis|Transplant|Lung transplant, bilateral",6,,
"Undefined",1,"0.15","Transplant, lung single, surgery for","1","S-LUNGTRAN","admission diagnosis|All Diagnosis|Operative|Diagnosis|Transplant|Lung transplant, single",9,,
